CourseCode,CourseName,Credits,Instructor,Room,Day,StartTime,EndTime,MaxEnrollment,TotalEnrollment
BCS101Lec1,Elements of Computing,3,"Seyam, Ahmed",HUB-117 Software Lab,M,11:00:00 AM,12:59:00 PM,24,21
BCS101Lec1,Elements of Computing,3,"Garg, Sahil",HUB-114,T,11:00:00 AM,12:59:00 PM,24,21
BCS101Lec2,Elements of Computing,3,"Garg, Sahil",HUB-114,T,11:00:00 AM,12:59:00 PM,24,25
BCS101Lec2,Elements of Computing,3,"Seyam, Ahmed",HUB-118 Robotic Lab,R,5:00:00 PM,6:59:00 PM,24,25
BCS101Lec3,Elements of Computing,3,"Seyam, Ahmed",HUB-118 Robotic Lab,T,1:00:00 PM,2:59:00 PM,24,24
BCS101Lec3,Elements of Computing,3,"Garg, Sahil",HUB-114,W,11:00:00 AM,12:59:00 PM,24,24
BCS101Lec4,Elements of Computing,3,"Yousefi, Adel",HUB-117 Software Lab,T,1:00:00 PM,2:59:00 PM,24,8
BCS101Lec4,Elements of Computing,3,"Garg, Sahil",HUB-114,W,11:00:00 AM,12:59:00 PM,24,8
BCS102Lec1,Introduction to Computing Science I,3,"Yousefi, Adel",HUB-117 Software Lab,T,5:00:00 PM,6:59:00 PM,24,24
BCS102Lec1,Introduction to Computing Science I,3,"Zgheib, Rita",MGT-204,W,11:00:00 AM,12:59:00 PM,24,24
BCS102Lec2,Introduction to Computing Science I,3,"Zgheib, Rita",HUB-117 Software Lab,M,9:00:00 AM,10:59:00 AM,24,25
BCS102Lec2,Introduction to Computing Science I,3,"Zgheib, Rita",MGT-204,W,11:00:00 AM,12:59:00 PM,24,25
BCS102Lec3,Introduction to Computing Science I,3,"Zgheib, Rita",MGT-204,T,3:00:00 PM,4:59:00 PM,24,24
BCS102Lec3,Introduction to Computing Science I,3,"Seyam, Ahmed",HUB-117 Software Lab,W,1:00:00 PM,2:59:00 PM,24,24
BCS102Lec4,Introduction to Computing Science I,3,"Zgheib, Rita",MGT-204,T,3:00:00 PM,4:59:00 PM,24,24
BCS102Lec4,Introduction to Computing Science I,3,"Zgheib, Rita",HUB-117 Software Lab,R,5:00:00 PM,6:59:00 PM,24,24
BCS202Lec01,Introduction to Computing Science II,3,"Yousefi, Adel",HUB-117 Software Lab,M,7:00:00 PM,8:59:00 PM,10,8
BCS202Lec01,Introduction to Computing Science II,3,"Oguz, Kaya",MGT-204,T,5:00:00 PM,6:59:00 PM,10,8
BCS203Lec1,Software Specifications,3,"Mohamed, Tamer",HUB-114,M,3:00:00 PM,5:59:00 PM,48,46
BCS203Lec2,Software Specifications,3,"Mohamed, Tamer",MGT-204,R,6:00:00 PM,8:59:00 PM,48,46
BCS206Lec1,Information Structures,3,"Elnaffar, Said Selim",HUB-112,W,9:00:00 AM,11:59:00 AM,48,43
BCS206Lec2,Information Structures,3,"Elnaffar, Said Selim",HUB-114,T,3:00:00 PM,5:59:00 PM,48,48
BCS221Lec1,Communication Networks,3,"Faheem, Yasir",HUB-118 Robotic Lab,M,11:00:00 AM,12:59:00 PM,24,22
BCS221Lec1,Communication Networks,3,"Faheem, Yasir",MGT-204,T,9:00:00 AM,10:59:00 AM,24,22
BCS221Lec2,Communication Networks,3,"Faheem, Yasir",MGT-204,T,9:00:00 AM,10:59:00 AM,24,24
BCS221Lec2,Communication Networks,3,"Yousefi, Adel",HUB-118 Robotic Lab,W,3:00:00 PM,4:59:00 PM,24,24
BCS221Lec3,Communication Networks,3,"Faheem, Yasir",HUB-118 Robotic Lab,M,3:00:00 PM,4:59:00 PM,24,24
BCS221Lec3,Communication Networks,3,"Faheem, Yasir",MGT-204,T,11:00:00 AM,12:59:00 PM,24,24
BCS221Lec4,Communication Networks,3,"Faheem, Yasir",MGT-204,T,11:00:00 AM,12:59:00 PM,24,24
BCS221Lec4,Communication Networks,3,"Yousefi, Adel",HUB-118 Robotic Lab,W,1:00:00 PM,2:59:00 PM,24,24
BCS222Lec1,Programming Paradigms,3,"El Messiry, Haytham",MGT-208,R,9:00:00 AM,11:59:00 AM,48,42
BCS222Lec2,Programming Paradigms,3,"El Messiry, Haytham",MGT-204,W,3:00:00 PM,5:59:00 PM,48,48
BCS305Lec1,Software Architecture,3,"Zgheib, Rita",HUB-114,W,3:00:00 PM,5:59:00 PM,50,32
BCS306Lec1,Database Management Systems,3,"Garg, Sahil",HUB-114,T,1:00:00 PM,2:59:00 PM,22,22
BCS306Lec1,Database Management Systems,3,"Yousefi, Adel",HUB-117 Software Lab,T,7:00:00 PM,8:59:00 PM,22,22
BCS306Lec2,Database Management Systems,3,"Garg, Sahil",HUB-114,T,1:00:00 PM,2:59:00 PM,22,23
BCS306Lec2,Database Management Systems,3,"Yousefi, Adel",HUB-117 Software Lab,R,1:00:00 PM,2:59:00 PM,22,23
